norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
59576,STARLINK-31663,PAYLOAD,Starlink Gen 1,483.0500153082503,Very Low LEO,LEO-Equatorial,HIGH,42.9979,7.631e-05,2023,0,<1yr,15.27579693,2025-11-11 00:57:23.096160,celestrak,2025-11-11,US,2025-11-11
59577,STARLINK-31692,PAYLOAD,Starlink Gen 1,483.050332710508,Very Low LEO,LEO-Equatorial,HIGH,43.0014,0.0001484,2023,0,<1yr,15.27579587,2025-11-11 06:55:29.820576,celestrak,2025-11-11,US,2025-11-11
59578,STARLINK-31685,PAYLOAD,Starlink Gen 1,483.0033905130431,Very Low LEO,LEO-Equatorial,HIGH,43.0033,0.00013473,2023,0,<1yr,15.27595264,2025-11-11 07:39:41.186880,celestrak,2025-11-11,US,2025-11-11
59579,STARLINK-31686,PAYLOAD,Starlink Gen 1,483.074623075222,Very Low LEO,LEO-Equatorial,HIGH,43.0043,6.165e-05,2023,0,<1yr,15.27571475,2025-11-11 01:28:37.626240,celestrak,2025-11-11,US,2025-11-11
59580,STARLINK-31668,PAYLOAD,Starlink Gen 1,482.97062696988996,Very Low LEO,LEO-Equatorial,HIGH,43.0036,0.00013713,2023,0,<1yr,15.27606206,2025-11-11 07:28:35.728896,celestrak,2025-11-11,US,2025-11-11
59581,STARLINK-31690,PAYLOAD,Starlink Gen 1,483.0800908324245,Very Low LEO,LEO-Equatorial,HIGH,43.0008,4.366e-05,2023,0,<1yr,15.27569649,2025-11-11 01:43:27.934176,celestrak,2025-11-11,US,2025-11-11
59582,STARLINK-31701,PAYLOAD,Starlink Gen 1,482.68510185320065,Very Low LEO,LEO-Equatorial,HIGH,43.0034,0.00012503,2023,0,<1yr,15.27701568,2025-11-11 02:05:37.953312,celestrak,2025-11-11,US,2025-11-11
59583,STARLINK-31697,PAYLOAD,Starlink Gen 1,483.02433579058834,Very Low LEO,LEO-Equatorial,HIGH,43.0026,9.601e-05,2023,0,<1yr,15.27588269,2025-11-11 06:36:59.212512,celestrak,2025-11-11,US,2025-11-11
59584,STARLINK-31662,PAYLOAD,Starlink Gen 1,482.9944255639002,Very Low LEO,LEO-Equatorial,HIGH,43.0019,0.0001604,2023,0,<1yr,15.27598258,2025-11-11 06:57:21.033792,celestrak,2025-11-11,US,2025-11-11
59585,STARLINK-31702,PAYLOAD,Starlink Gen 1,483.0128285940182,Very Low LEO,LEO-Equatorial,HIGH,43.0,6.403e-05,2023,0,<1yr,15.27592112,2025-11-11 07:21:23.351328,celestrak,2025-11-11,US,2025-11-11
59586,STARLINK-31704,PAYLOAD,Starlink Gen 1,482.8738058293593,Very Low LEO,LEO-Equatorial,HIGH,43.0013,0.00015656,2023,0,<1yr,15.27638542,2025-11-11 07:03:19.926432,celestrak,2025-11-11,US,2025-11-11
59587,NEONSAT-1,PAYLOAD,Other,468.87652916166826,Very Low LEO,LEO-Polar,HIGH,97.3681,0.00120891,2023,0,<1yr,15.32325338,2025-11-11 06:56:27.754368,celestrak,2025-11-11,SKOR,2025-11-11
59588,ACS3,PAYLOAD,Other,951.9511938276264,Low LEO,LEO-Polar,LOW,97.3179,0.00523163,2023,1,<1yr,13.83371939,2025-11-10 10:45:04.554432,celestrak,2025-11-11,US,2025-11-11
59598,GSAT0225 (GALILEO 29),PAYLOAD,Galileo,23222.146246918837,MEO,MEO,MEDIUM,54.9796,0.00021172,2023,3,<1yr,1.70474318,2025-11-08 06:22:38.761824,celestrak,2025-11-11,ESA,2025-11-11
59600,GSAT0227 (GALILEO 30),PAYLOAD,Galileo,23222.12066474471,MEO,MEO,MEDIUM,54.9768,0.00038571,2023,1,<1yr,1.70474539,2025-11-10 19:04:17.315040,celestrak,2025-11-11,ESA,2025-11-11
59601,STARLINK-31770,PAYLOAD,Starlink Gen 1,483.080773554243,Very Low LEO,LEO-Equatorial,HIGH,43.0,0.00010008,2023,0,<1yr,15.27569421,2025-11-11 02:33:40.119840,celestrak,2025-11-11,US,2025-11-11
59602,STARLINK-31778,PAYLOAD,Starlink Gen 1,483.1352241605209,Very Low LEO,LEO-Equatorial,HIGH,43.0007,9.392e-05,2023,0,<1yr,15.27551237,2025-11-11 02:36:12.716928,celestrak,2025-11-11,US,2025-11-11
59603,STARLINK-31776,PAYLOAD,Starlink Gen 1,483.1048725454548,Very Low LEO,LEO-Equatorial,HIGH,43.0015,0.00017579,2023,0,<1yr,15.27561373,2025-11-11 02:31:06.146400,celestrak,2025-11-11,US,2025-11-11
59604,STARLINK-31765,PAYLOAD,Starlink Gen 1,483.0783331239654,Very Low LEO,LEO-Equatorial,HIGH,43.0017,0.00014944,2023,0,<1yr,15.27570236,2025-11-11 01:51:48.000096,celestrak,2025-11-11,US,2025-11-11
59605,STARLINK-31767,PAYLOAD,Starlink Gen 1,483.0490301637392,Very Low LEO,LEO-Equatorial,HIGH,42.9995,7.946e-05,2023,0,<1yr,15.27580022,2025-11-11 02:22:33.828096,celestrak,2025-11-11,US,2025-11-11
59606,STARLINK-31782,PAYLOAD,Starlink Gen 1,483.0446015093512,Very Low LEO,LEO-Equatorial,HIGH,43.0005,0.00014022,2023,0,<1yr,15.27581501,2025-11-11 04:20:04.183008,celestrak,2025-11-11,US,2025-11-11
59607,STARLINK-31755,PAYLOAD,Starlink Gen 1,483.10135410350085,Very Low LEO,LEO-Equatorial,HIGH,43.0003,8.717e-05,2023,0,<1yr,15.27562548,2025-11-11 02:51:28.032480,celestrak,2025-11-11,US,2025-11-11
59608,STARLINK-31585,PAYLOAD,Starlink Gen 1,483.0596242287211,Very Low LEO,LEO-Equatorial,HIGH,43.002,0.00019297,2023,0,<1yr,15.27576484,2025-11-11 02:43:23.783808,celestrak,2025-11-11,US,2025-11-11
59609,STARLINK-31667,PAYLOAD,Starlink Gen 1,483.06961346934077,Very Low LEO,LEO-Equatorial,HIGH,43.0028,8.439e-05,2023,0,<1yr,15.27573148,2025-11-11 02:48:56.990592,celestrak,2025-11-11,US,2025-11-11
